SiteNum,SiteName,Long_planned,Lat_planned,SiteName,Organiz,Benthic,BenthicPair,Date,Time,Team_DS,Team,LatGPS,LongGPS,SpCond,SalFINAL,TempFinal,ODOPerFinal,ODO,Turb_Final,pH,pH_insitu_Silbiger,TSS,Ammonia,NNN,TotalN,TotalP,Silica,Chla,Salinity_Silbiger,Depth_FINAL,Photos x 5_DS,# of usable photos,Comments photo quadrants,Notes_DS,Comments,Enterococcus,FCM,DNA,FDOM,Pharm,PPL,TA,DOH,DNAex,runDNA,TA_Raw_Silbiger,fDOM_M:C,fDOM_BIX,fDOM_HIX,fDOM_FI,FCM_Concentration (cells/uL),IBU_ngmL,SMX_ngmL,GLY_ngmL,CBZ_ngmL,EnteroCFU100ml,Sample Name,SiteNum_DNA,SiteNumDOH,clusterfit,dist2coast,otpN,gw_wells,streams,DistanceHK_m
139,139,-157.7485839,21.26894109,MBGT1-139,HDOHOff,0,1,20190814,6:56:00 AM,Boat,4,21.26886,-157.74854,53204,34.24,27.1,100.9,6.59,0.22,7.99,8.044672,26,13,1,78,9,500,0.13,34.94,12.47,,,,,,,1,1,1,0,0,1,1,,5,2280.627,1.642682,0.943578,0.340661,1.505659,342480,,,,,,139,139,139,2,878.64,137.16,1231.3,906.09,2959.9
140,140,-157.8000263,21.2444788,MBGT1-140,HDOHOff,0,0,20190815,9:00:00 AM,Boat,4,21.2445,-157.79982,53446,34.83,27.2,101.7,6.63,0.15,8.19,8.063098,26,13,2,112,31,500,0.09,35.2,19.53,,,,,,,1,1,1,0,0,1,1,,0,2282.695,1.715941,0.79569,0.307155,1.468172,368000,,,,,,140,140,140,11,1274.24,768.6,1782.39,3317.98,7213.75
141,141,-157.7639639,21.25708513,MBGT1-141,HDOHOff,0,0,20190814,7:20:00 AM,Boat,4,21.25695,-157.76407,53270,34.83,27.2,101.9,6.65,0.09,8.18,8.056304,18,7,1,63,8,500,0.09,35.12,16.45,,,,,,,1,1,1,0,0,1,1,,0,2284.614,1.378997,0.781136,0.364804,1.791468,297796,,,,,,141,141,141,2,1791.2,0,2064.75,1843.96,4348.34
142,142,-157.7241439,21.2667735,MBGT1-142,HDOHOff,0,0,20190813,9:05:00 AM,Boat,4,21.26666,-157.72426,53296,34.77,27.2,100.4,6.58,0.39,8.17,8.056098,23,17,1,54,8,500,0.11,35.14,12.22,0,,,"correct, sand",,,1,1,1,0,0,1,1,,0,2275.605,1.272873,0.776522,0.50473,1.456732,416408,,,,,,142,142,142,2,1341.23,0,1964.61,1672.87,1249.58
143,143,-157.71587,21.26303341,MBGT1-143,HDOHOff,0,0,20190813,9:24:00 AM,Boat,4,21.26285,-157.7159,53359,34.8,27.2,100.7,6.58,0.39,8.17,8.047828,22,18,1,53,8,500,0.12,35.11,10.67,0,,,,,,1,1,1,0,0,1,1,,0,2277.028,1.235038,0.826864,0.335015,1.434354,442820,,,,,,143,143,143,2,430.12,97.97,2638.56,1184.06,728.11
144,144,-157.7845208,21.24554424,MBGT1-144,HDOHOff,0,0,20190815,9:20:00 AM,Boat,4,21.24553,-157.78444,53316,34.29,27.2,97.9,6.41,0.56,8.16,8.007756,34,14,4,78,27,500,0.15,35.18,21.71,,,,,,,1,1,1,0,0,1,1,,0,2248.201,1.210339,0.805475,0.439156,1.653732,503857,,,,,,144,144,144,11,1287.05,1201.64,1587.61,2447.3,6076.73
145,145,-157.7791759,21.24747135,MBGT1-145,HDOHOff,0,0,20190814,10:08:00 AM,Boat,4,21.24746,-157.77914,53488,34.81,26.9,102.1,6.68,0.09,8.19,8.055898,30,20,1,71,7,500,0.11,35.26,20.48,0,,,,,,1,1,1,0,0,1,1,,0,2275.945,1.415782,0.668425,0.901141,1.542526,417714,,,,,,145,145,145,11,1522.01,0,1740,2160.21,5650.05
146,146,-157.7681717,21.25719395,MBGT1-146,HDOHOff,0,0,20190814,10:39:00 AM,Boat,4,21.25702,-157.76823,53253,34.2,27.3,101.2,6.59,0.22,8.18,8.028012,20,16,1,58,8,500,0.15,35.08,18.86,0,,,,"YSI data not on DS, perhaps only logged due to time constraints?",,1,1,1,0,0,1,1,,0,2257.231,1.286134,0.717481,0.276393,1.556609,371900,,,,,,146,146,146,11,1512.08,0,2136.77,1548.58,4648.16
147,147,-157.7262692,21.25552509,MBGT1-147,HDOHOff,0,0,20190814,7:12:00 AM,Boat,4,21.25543,-157.72629,53412,34.3,27.1,102.5,6.69,0.3,8.18,8.036362,36,16,1,64,7,500,0.11,35.2,30.78,0,,,,,,1,1,1,0,0,1,1,,0,2255.621,1.437145,0.57604,0.242499,1.466083,371041,,,,,,147,147,147,11,1669.28,0,3191.9,2517.34,1644.84
148,148,-157.8084056,21.25075021,MBGT1-148,HDOHOff,0,1,20190814,8:23:00 AM,Boat,4,21.25041,-157.8082,53309,34.24,27.1,99,6.47,1.62,8.08,7.958513,28,15,1,80,19,500,0.24,35.12,5.78,,,,,,,1,1,1,0,0,1,1,,5,2256.672,1.067837,0.841841,0.303967,1.763066,600180,,,,,,148,148,148,1,480.42,3434.31,1976.77,3563.87,7689.99
149,149,-157.7662966,21.26764398,MBGT1-149,HDOHOff,0,1,20190814,8:44:00 AM,Boat,4,21.2677,-157.76624,53401,34.23,27.1,95.2,6.11,0.8,8.12,7.803784,12,19,4,67,7,500,0.18,35.08,5.81,0,,,,,,1,1,1,0,0,1,1,10/17/2019,4,2261.7,1.211141,0.753836,0.486749,1.576941,507367,,,,,,149,149,149,1,603.74,222.79,939.84,687.68,4267.75
150,150,-157.7503385,21.26439937,MBGT1-150,HDOHOff,0,0,20190814,7:01:00 AM,Boat,4,21.26431,-157.75034,53318,34.31,27.1,101.9,6.66,0.13,8.17,7.929988,19,7,1,94,10,500,0.15,35.14,13.58,,,,,,,1,1,1,0,1,1,1,bursted,3,2267.092,1.339918,0.653721,0.267148,1.511788,381500,,,,,,150,150,150,2,1180.68,19.59,1768.28,1390.04,3190.9
151,151,-157.7336893,21.25382383,MBGT1-151,HDOHOff,0,0,20190814,7:18:00 AM,Boat,4,21.25384,-157.73367,53435,34.22,27.2,102.6,6.69,0.18,8.19,7.960324,30,12,1,75,8,500,0.12,35.14,27.89,0,,,,,,1,1,1,0,0,1,1,,0,2244.587,1.715733,0.768726,0.254145,1.433523,358240,,,,,,151,151,151,11,2449.69,0,3011.99,2950.97,2214.68
152,152,-157.7905802,21.25360791,MBGT1-152,HDOHOff,0,1,20190814,7:35:00 AM,Boat,4,21.2536,-157.79053,53417,34.31,27.3,98.6,6.39,0.65,8.18,7.965738,21,15,5,91,19,500,0.17,35.14,9.39,,,,,,,1,1,1,0,1,1,1,10/15/2019,3,2249.015,1.510929,0.78347,0.416758,1.421646,512184,,,,,,152,152,152,2,201.25,4127.77,534.6,1919.43,6339.32
153,153,-157.7556454,21.2527354,MBGT1-153,HDOHOff,0,0,20190815,9:44:00 AM,Boat,4,21.25272,-157.75572,53353,34.31,27.2,101.8,6.64,0.13,8.2,7.979072,30,10,1,95,8,500,0.08,35.13,21.08,,,,,,,1,1,1,0,0,1,1,,0,2262.071,1.688956,0.804683,0.235997,1.689634,334720,,,,,,153,153,153,11,2304.26,0,2623.6,2615.59,3836.96
154,154,-157.7478217,21.25731629,MBGT1-154,HDOHOff,0,0,20190815,9:59:00 AM,Boat,4,21.25728,-157.74789,53428,34.3,27.3,101.8,6.62,0.09,8.2,7.975839,32,9,1,68,9,500,0.09,35.17,18.42,,,,,,,1,1,1,0,0,1,1,,0,2241.861,1.276083,0.80038,0.193554,1.433952,378673,,,,,,154,154,154,11,1989.3,0,2458.01,2184.35,3168.86
155,155,-157.7384355,21.27218945,MBGT1-155,HDOHOff,0,1,20190813,8:51:00 AM,Boat,4,21.27213,-157.73851,53262,34.26,27.1,98.6,6.44,1.1,8.14,7.960232,9,17,1,57,5,500,0.15,35.09,10.34,0,,,correct,,,1,1,1,0,0,1,1,10/17/2019,4,2251.144,1.360702,0.758433,0.633468,1.594117,565700,,,,,,155,155,155,2,852.11,274.31,978.01,890.51,2161.01
156,156,-157.8098239,21.24712972,MBGT1-156,HDOHOff,0,0,20190815,8:49:00 AM,Boat,4,21.24713,-157.80971,53435,34.23,27.1,101.3,6.61,0.16,8.2,7.983799,27,13,1,68,31,500,0.1,35.22,17.19,,,,,,,1,1,1,0,0,1,1,,0,2255.756,1.353043,0.646217,0.327993,1.553151,402306,,,,,,156,156,156,11,866.83,1706.32,2288.17,3894.66,7872
