Full Name,Site Number,Quadrad number ,Copy,Team Color,Picture Number,,Annotation status,Annotation area,Coral,Sand,Silt,Pav,Rock,Unk,ASPIC,CA_O,CCA,GFA,GSAL,Hal,Turbin,Turf,UnkMacroa
180_2_3_Green_Copy of P8150325.JPG,180,2,3,Green,Copy of P8150325.JPG,,Confirmed,X: 71 - 3360 pixels / Y: 41 - 2300 pixels,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
180_2_4_Green_Copy of P8150326.JPG,180,2,4,Green,Copy of P8150326.JPG,,Confirmed,X: 851 - 4000 pixels / Y: 1 - 2295 pixels,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0
180_3_1_Green_Copy of P8150328.JPG,180,3,1,Green,Copy of P8150328.JPG,,Confirmed,X: 1 - 1820 pixels / Y: 1721 - 2990 pixels,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
180_3_2_Green_Copy of P8150329.JPG,180,3,2,Green,Copy of P8150329.JPG,,Confirmed,X: 1 - 1775 pixels / Y: 26 - 2700 pixels,0,0,23.333,0,0,0,0,0,0,76.667,0,0,0,0,0
180_3_3_Green_Copy of P8150330.JPG,180,3,3,Green,Copy of P8150330.JPG,,Confirmed,X: 10 - 90% / Y: 10 - 90%,0,0,43.333,0,0,0,0,0,0,56.667,0,0,0,0,0
180_4_1_Green_Copy of P8150331.JPG,180,4,1,Green,Copy of P8150331.JPG,,Confirmed,X: 1 - 4000 pixels / Y: 1311 - 3000 pixels,0,0,66.667,0,0,0,0,0,0,33.333,0,0,0,0,0
180_4_2_Green_Copy of P8150333.JPG,180,4,2,Green,Copy of P8150333.JPG,,Confirmed,X: 1 - 3105 pixels / Y: 1 - 2265 pixels,0,0,53.333,0,0,0,0,0,0,46.667,0,0,0,0,0
201_1_1_Yellow_Copy of P8140243.JPG,201,1,1,Yellow,Copy of P8140243.JPG,,Confirmed,X: 10 - 90% / Y: 10 - 90%,0,66.667,0,0,20,0,0,0,13.333,0,0,0,0,0,0
201_2_1_Yellow_Copy of P8140234.JPG,201,2,1,Yellow,Copy of P8140234.JPG,,Confirmed,X: 10 - 90% / Y: 10 - 90%,0,80,0,0,20,0,0,0,0,0,0,0,0,0,0
201_3_1_Yellow_Copy of P8140238.JPG,201,3,1,Yellow,Copy of P8140238.JPG,,Confirmed,X: 10 - 90% / Y: 10 - 90%,0,63.333,0,0,33.333,0,0,0,3.333,0,0,0,0,0,0
201_4_1_Yellow_Copy of P8140240.JPG,201,4,1,Yellow,Copy of P8140240.JPG,,Confirmed,X: 10 - 90% / Y: 10 - 90%,0,76.667,0,0,16.667,0,0,0,0,0,0,0,0,0,6.667
201_5_1_Yellow_Copy of P8140241.JPG,201,5,1,Yellow,Copy of P8140241.JPG,,Confirmed,X: 301 - 3035 pixels / Y: 171 - 2905 pixels,0,80,0,0,13.333,0,0,0,6.667,0,0,0,0,0,0
202_1_1_Red_Copy of P8150339.JPG,202,1,1,Red,Copy of P8150339.JPG,,Confirmed,X: 746 - 3350 pixels / Y: 181 - 2850 pixels,0,60,3.333,0,36.667,0,0,0,0,0,0,0,0,0,0
202_2_1_Red_Copy of P8150341.JPG,202,2,1,Red,Copy of P8150341.JPG,,Confirmed,X: 400 - 3055 pixels / Y: 186 - 2865 pixels,0,90,0,0,10,0,0,0,0,0,0,0,0,0,0
202_3_1_Red_Copy of P8150343.JPG,202,3,1,Red,Copy of P8150343.JPG,,Confirmed,X: 10 - 90% / Y: 10 - 90%,0,16.667,0,0,10,0,73.333,0,0,0,0,0,0,0,0
202_3_2_Red_Copy of P8150344.JPG,202,3,2,Red,Copy of P8150344.JPG,,Confirmed,X: 1 - 3195 pixels / Y: 300 - 3000 pixels,0,33.333,0,0,13.333,0,53.333,0,0,0,0,0,0,0,0
202_3_3_Red_Copy of P8150345.JPG,202,3,3,Red,Copy of P8150345.JPG,,Confirmed,X: 16 - 3310 pixels / Y: 1 - 2455 pixels,0,23.333,0,0,26.667,0,50,0,0,0,0,0,0,0,0
202_3_4_Red_Copy of P8150346.JPG,202,3,4,Red,Copy of P8150346.JPG,,Confirmed,X: 961 - 4000 pixels / Y: 31 - 2875 pixels,0,43.333,0,0,20,0,36.667,0,0,0,0,0,0,0,0
202_4_1_Red_Copy of P8150348.JPG,202,4,1,Red,Copy of P8150348.JPG,,Confirmed,X: 656 - 3995 pixels / Y: 521 - 2995 pixels,0,13.333,0,0,0,0,26.667,0,10,10,40,0,0,0,0
202_4_2_Red_Copy of P8150349.JPG,202,4,2,Red,Copy of P8150349.JPG,,Confirmed,X: 31 - 2945 pixels / Y: 696 - 2980 pixels,0,13.333,0,0,0,0,53.333,0,0,6.667,26.667,0,0,0,0
202_4_3_Red_Copy of P8150350.JPG,202,4,3,Red,Copy of P8150350.JPG,,Confirmed,X: 16 - 2790 pixels / Y: 26 - 2700 pixels,0,36.667,0,0,6.667,0,26.667,0,0,0,30,0,0,0,0
202_4_4_Red_Copy of P8150351.JPG,202,4,4,Red,Copy of P8150351.JPG,,Confirmed,X: 10 - 90% / Y: 10 - 90%,0,23.333,0,0,20,0,26.667,0,3.333,0,26.667,0,0,0,0
202_5_1_Red_Copy of P8150354.JPG,202,5,1,Red,Copy of P8150354.JPG,,Confirmed,X: 10 - 90% / Y: 10 - 90%,0,46.667,0,0,0,0,20,0,0,0,23.333,0,0,0,10
202_5_2_Red_Copy of P8150355.JPG,202,5,2,Red,Copy of P8150355.JPG,,Confirmed,X: 1 - 3290 pixels / Y: 821 - 3000 pixels,0,50,0,0,6.667,0,23.333,0,3.333,0,16.667,0,0,0,0
202_5_3_Red_Copy of P8150356.JPG,202,5,3,Red,Copy of P8150356.JPG,,Confirmed,X: 1 - 3000 pixels / Y: 21 - 2485 pixels,0,53.333,0,0,16.667,0,30,0,0,0,0,0,0,0,0
202_5_4_Red_Copy of P8150357.JPG,202,5,4,Red,Copy of P8150357.JPG,,Confirmed,X: 616 - 3990 pixels / Y: 31 - 2555 pixels,0,56.667,0,0,6.667,0,36.667,0,0,0,0,0,0,0,0
203_1_1_Green_Copy of P8140169.JPG,203,1,1,Green,Copy of P8140169.JPG,,Confirmed,X: 586 - 3290 pixels / Y: 161 - 2735 pixels,0,76.667,6.667,0,3.333,0,0,0,0,6.667,0,0,0,6.667,0
203_2_1_Green_Copy of P8140170.JPG,203,2,1,Green,Copy of P8140170.JPG,,Confirmed,X: 586 - 3700 pixels / Y: 186 - 2965 pixels,0,70,0,0,10,0,0,0,0,16.667,0,0,0,0,3.333
203_3_1_Green_Copy of P8140172.JPG,203,3,1,Green,Copy of P8140172.JPG,,Confirmed,X: 10 - 90% / Y: 10 - 90%,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0
203_4_1_Green_Copy of P8140174.JPG,203,4,1,Green,Copy of P8140174.JPG,,Confirmed,X: 10 - 90% / Y: 10 - 90%,0,0,83.333,0,3.333,0,0,0,0,13.333,0,0,0,0,0
203_5_1_Green_Copy of P81401745.JPG,203,5,1,Green,Copy of P81401745.JPG,,Confirmed,X: 10 - 90% / Y: 10 - 90%,0,93.333,0,0,0,0,6.667,0,0,0,0,0,0,0,0
204_1_1_Red_Copy of P8140254.JPG,204,1,1,Red,Copy of P8140254.JPG,,Confirmed,X: 10 - 90% / Y: 10 - 90%,0,56.667,0,0,3.333,0,40,0,0,0,0,0,0,0,0
204_1_2_Red_Copy of P8140255.JPG,204,1,2,Red,Copy of P8140255.JPG,,Confirmed,X: 1 - 2890 pixels / Y: 836 - 2985 pixels,0,43.333,0,0,30,0,26.667,0,0,0,0,0,0,0,0
204_1_3_Red_Copy of P8140256.JPG,204,1,3,Red,Copy of P8140256.JPG,,Confirmed,X: 1 - 2975 pixels / Y: 1 - 2700 pixels,0,73.333,0,0,10,0,6.667,0,0,10,0,0,0,0,0
204_1_4_Red_Copy of P8140257.JPG,204,1,4,Red,Copy of P8140257.JPG,,Confirmed,X: 10 - 90% / Y: 10 - 90%,0,70,0,0,0,0,0,0,0,30,0,0,0,0,0
204_2_1_Red_Copy of P8140259.JPG,204,2,1,Red,Copy of P8140259.JPG,,Confirmed,X: 916 - 3995 pixels / Y: 300 - 3000 pixels,0,83.333,3.333,0,0,0,13.333,0,0,0,0,0,0,0,0
204_2_2_Red_Copy of P8140260.JPG,204,2,2,Red,Copy of P8140260.JPG,,Confirmed,X: 1 - 2925 pixels / Y: 466 - 3000 pixels,0,70,0,0,10,0,10,0,0,10,0,0,0,0,0
204_2_3_Red_Copy of P8140261.JPG,204,2,3,Red,Copy of P8140261.JPG,,Confirmed,X: 1 - 3000 pixels / Y: 1 - 2265 pixels,0,90,0,0,0,0,10,0,0,0,0,0,0,0,0
